fullid,mode,stidstrt,stidsch,stidstd,SchName,Fname,Testdate,ST001Q01_15,ST002Q01_15,ST003Q01_15,ST003Q02_15,ST003Q03_15,ST004Q01_15,ST126Q01_15,ST127Q01_15,ST127Q02_15,ST127Q03_15,ST014Q01_15,ST014Q02_15,ST005Q01_15,ST006Q01_15,ST006Q02_15,ST006Q03_15,ST006Q04_15,ST015Q01_15,ST015Q02_15,ST007Q01_15,ST008Q01_15,ST008Q02_15,ST008Q03_15,ST008Q04_15,ST019Q01_15,ST019Q02_15,ST019Q03_15,ST021Q01_15,ST022Q01_15,LANGHOME,ST011Q01_15,ST011Q02_15,ST011Q03_15,ST011Q04_15,ST011Q05_15,ST011Q06_15,ST011Q07_15,ST011Q08_15,ST011Q09_15,ST011Q010_15,ST011Q011_15,ST011Q012_15,ST011Q013_15,ST011Q014_15,ST011Q015_15,ST011Q016_15,ST012Q01_15,ST012Q02_15,ST012Q03_15,ST012Q04_15,ST012Q05_15,ST012Q06_15,ST012Q07_15,ST012Q08_15,ST013Q01_15,ST88Q01_12,ST88Q02_12,ST88Q03_12,ST88Q04_12,ST86Q01_12,ST86Q02_12,ST86Q03_12,ST86Q04_12,ST86Q05_12,ST55Q01_12,ST55Q02_12,ST55Q03_12,ST55Q04_12,ST41Q01_9,ST41Q02_9,ST41Q03_9,ST41Q04_9,ST41Q05_9,ST41Q06_9,ST42Q01_9,ST42Q02_9,ST42Q03_9,ST42Q04_9,ST42Q05_9,ST25Q01_9,ST25Q02_9,ST25Q03_9,ST25Q04_9,ST25Q05_9,ST81Q01_12,ST81Q02_12,ST81Q03_12,ST81Q04_12,ST81Q05_12,ST29Q01_12,ST29Q02_12,ST29Q03_12,ST29Q04_12,ST29Q05_12,ST29Q06_12,ST29Q07_12,ST29Q08_12,ST37Q01_12,ST37Q02_12,ST37Q03_12,ST37Q04_12,ST37Q05_12,ST37Q06_12,ST37Q07_12,ST37Q08_12,ST36Q01_09,ST36Q02_09,ST36Q03_09,ST36Q04_09,ST36Q05_09,ST063Q01_15,ST063Q02_15,ST063Q03_15,ST063Q04_15,ST063Q05_15,ST063Q06_15,ST065Q01_15,ST129Q01_15,ST129Q02_15,ST129Q03_15,ST129Q04_15,ST129Q05_15,ST129Q06_15,ST129Q07_15,ST129Q08_15,ST097Q01_15,ST097Q02_15,ST097Q03_15,ST097Q04_15,ST097Q05_15,ST113Q01_15,ST113Q02_15,ST113Q03_15,ST113Q04_15,ST114Q01_15,ST103Q01_15,ST103Q02_15,ST103Q03_15,ST103Q04_15,ST107Q01_15,ST107Q02_15,ST107Q03_15,ST131Q01_15,ST131Q02_15,ST131Q03_15,ST131Q04_15,ST131Q05_15,ST131Q06_15,ST27Q01_6,ST27Q02_6,ST27Q03_6,ST27Q04_6,LANG,OCIN1,OCIN2,OCOD1,OCOD2,Age,nationality,BFMJ1,BMMJ1,DISCLIM,DISCLIMA,DISCLIMS,ESCS,FAMSTRUC,FISCED,HISCED,HISEI,HOMEPOS,IMMIG,INSTMOT,INSTSCIE,MATHEFF,SCIEEFF,METASUM,MISCED,PARED,SCIEEFF_1,STUDREL,UNDREM,WEALTH,pv1math,pv2math,pv3math,pv4math,pv5math,pv1read,pv2read,pv3read,pv4read,pv5read,pv1scie,pv2scie,pv3scie,pv4scie,pv5scie,bookid,W_STU,rwgt1,rwgt2,rwgt3,rwgt4,rwgt5,rwgt6,rwgt7,rwgt8,rwgt9,rwgt10,rwgt11,rwgt12,rwgt13,rwgt14,rwgt15,rwgt16,rwgt17,rwgt18,rwgt19,rwgt20,rwgt21,rwgt22,rwgt23,rwgt24,rwgt25,rwgt26,rwgt27,rwgt28,rwgt29,rwgt30,rwgt31,rwgt32,rwgt33,rwgt34,rwgt35,rwgt36,rwgt37,rwgt38,rwgt39,rwgt40,rwgt41,rwgt42,rwgt43,rwgt44,rwgt45,rwgt46,rwgt47,rwgt48,rwgt49,rwgt50,rwgt51,rwgt52,rwgt53,rwgt54,rwgt55,rwgt56,rwgt57,rwgt58,rwgt59,rwgt60,rwgt61,rwgt62,rwgt63,rwgt64,rwgt65,rwgt66,rwgt67,rwgt68,rwgt69,rwgt70,rwgt71,rwgt72,rwgt73,rwgt74,rwgt75,rwgt76,rwgt77,rwgt78,rwgt79,rwgt80
NA,PAPER,NA,MX-PUE-0005,10403,NA,NA,6/6/2018,2,1,27,03,2004,1,7,1,1,NA,AMA DE CASA,"COCINA, NOS AYUDA, ETC.",2,2,2,2,2,PEMEX,GUARDAESPALDAS,2,2,2,99,99,99,21,20,99,156,NA,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,4,3,3,4,3,4,1,3,2,4,4,1,1,1,1,1,1,1,1,1,1,1,5,3,6,6,6,4,6,3,4,6,6,1,1,3,4,2,3,3,3,3,3,3,1,2,2,1,1,1,1,2,1,2,1,1,2,2,2,3,3,3,3,3,1,99,2,99,1,2,99,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,1,1,99,3,2,4,3,4,3,4,4,3,4,4,4,4,1,2,2,2,NA,NA,NA,NA,NA,15,NA,5410,9501,-0.06540760844416826,0.025726774965539292,-0.6878298698330785,NA,NA,3B,NA,40,NA,NA,1.5347776318657016,1.7631673334043416,0.36255858834140087,0.318194279515603,2.0853459132506864,3B,12,NA,2.0853459132506864,2.0853459132506864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-NVL-0053,18864,NA,NA,5/23/2018,3,1,14,01,2003,1,7,1,1,NA,AMA DE CASA,SE OCUPA DEL HOGAR,1,2,2,2,2,ACTUALMENTE DESEMPLEADO,VENDE AGUA,1,2,2,2,2,19,30,19,99,156,NA,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,4,3,4,4,3,3,1,2,1,4,4,1,1,1,1,1,1,1,2,2,2,2,5,3,6,6,6,6,4,2,5,6,6,3,5,3,2,2,4,3,4,4,3,1,1,3,1,1,1,1,1,2,1,1,3,1,3,1,3,4,4,4,4,4,2,1,2,2,1,1,Astro fisica,2,1,1,3,1,2,2,1,4,4,4,4,4,1,1,1,1,ASTRO FISICA,4,2,4,4,3,4,4,4,3,4,4,2,3,1,1,1,1,NA,NA,NA,NA,NA,16,NA,9997,9501,0.8139722627365706,1.843687335263907,0.3950114354504379,NA,NA,3A,NA,NA,NA,NA,1.5347776318657016,1.7631673334043416,-1.4269140172403402e-4,0.9552491338359298,2.0853459132506864,3A,12,NA,2.0853459132506864,2.0853459132506864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-MIC-0001,1328,NA,NA,5/29/2018,3,1,21,01,2003,1,6,1,1,NA,ADMINSTRACION DE EMPRESAS,VENTA DE BISUTERIA,1,2,1,2,2,DIRECTOR GENERAL DEL DEPORTIVO,COORDINADOR,1,2,1,1,2,16,16,16,99,156,NA,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,4,3,4,4,4,4,1,3,4,4,2,2,2,2,3,2,3,1,5,1,1,4,1,4,5,3,6,5,4,1,5,1,3,1,1,1,2,2,1,1,2,1,4,2,4,3,3,2,2,2,4,2,4,4,1,3,1,1,1,3,99,2,3,1,99,2,1,2,99,99,biologgia,2,1,2,3,2,4,4,4,2,1,1,1,4,3,4,4,4,EMPRESARIO,2,4,3,3,1,1,2,4,3,3,2,1,2,2,2,2,2,NA,NA,NA,NA,NA,16,NA,1120,5222,-1.211461049099284,-0.9732708701621924,-1.5292032587928115,NA,NA,5B,NA,70,NA,NA,-1.0863535286806698,-1.579807301739877,-0.3255016542737958,-0.7307484453057537,-0.4764365886525934,5B,14,NA,-0.4764365886525934,-0.4764365886525934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-NVL-0019,3626,NA,NA,5/29/2018,2,1,3,9,2003,2,6,1,1,NA,AMA DE CASA,SE OCUPA DEL HOGAR,1,2,1,99,99,JEFE DE UNA EMPRESA,RENTA,1,2,1,1,1,19,19,19,99,156,NA,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,4,4,4,4,3,4,1,3,3,4,4,1,1,2,1,2,1,1,99,3,3,3,4,1,1,1,6,4,1,1,1,4,4,1,1,1,1,1,3,3,3,4,3,3,1,3,2,1,1,1,1,1,1,2,1,1,2,3,1,3,3,3,3,3,1,99,2,99,1,1,Biologia,2,2,2,1,2,1,2,1,3,3,3,3,3,1,2,2,2,INGENIERO,1,2,1,1,1,1,2,1,2,2,1,3,1,1,1,2,1,NA,NA,NA,NA,NA,15,NA,1120,9501,0.2085347751735916,0.025726774965539292,-0.6878298698330785,NA,NA,5B,NA,70,NA,NA,1.5347776318657016,0.8008954075688883,0.5699333141635577,0.9552491338359298,1.0641221964800758,5B,14,NA,1.0641221964800758,1.0641221964800758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-CMX-0002,7452,NA,NA,6/12/2018,2,1,4,9,2003,2,6,1,1,NA,ES UNA CONTADORA,HACER CUENTAS DE LA EMPRESA,1,1,1,1,1,PREFECTO,CUIDAR Y EVITAR ACCIDENTES EN LA ESCUELA,1,1,1,1,1,7,7,7,99,156,NA,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,3,3,3,4,2,4,1,1,2,3,3,1,2,2,1,2,1,1,5,5,5,5,5,4,6,6,6,5,5,4,6,5,6,1,4,4,1,1,3,4,3,3,4,2,1,3,2,1,1,1,2,3,2,2,1,2,3,2,2,3,4,3,3,4,1,99,1,2,1,1,Biologia,3,2,2,1,3,3,2,3,3,4,3,3,4,2,2,1,2,INGENIERO,3,2,4,3,4,3,3,3,2,4,3,3,4,2,2,1,1,NA,NA,NA,NA,NA,15,NA,2359,2411,0.49879701408007915,0.6440641152947226,-0.237792974238271,NA,NA,6,NA,66,NA,NA,1.0488454294913507,0.8008954075688883,-0.3255016542737958,-0.22792761571413347,1.0641221964800758,6,16,NA,1.0641221964800758,1.0641221964800758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-QUI-0036,15168,NA,NA,6/5/2018,3,1,5,11,2003,1,5,1,1,NA,EMPRESARIA,TIENE UNA TIENDA,1,99,1,99,99,INGENIERO AERONAUTICO,DISEÑA PISTAS,1,99,1,99,99,23,7,7,99,156,NA,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,4,3,4,4,3,3,2,4,3,3,3,2,1,1,2,1,1,1,2,3,2,2,3,6,6,6,6,3,6,2,6,6,6,2,1,5,4,2,3,3,3,4,3,4,1,4,4,2,2,2,2,1,1,1,2,2,2,2,1,4,3,4,4,4,2,1,2,2,1,2,BIOLOGIA,2,1,1,1,1,2,2,1,4,3,4,4,4,2,2,3,3,NEGOCIOS INTERNACIONALES,4,2,4,4,3,4,3,3,4,3,4,3,4,2,2,4,2,NA,NA,NA,NA,NA,15,NA,2149,1210,0.2085347751735916,1.2660917358460213,0.06993274275571477,NA,NA,5B,NA,70,NA,NA,0.4510999973131331,-0.26961315672847236,0.5699333141635577,1.487287493761061,1.4396447754851474,5B,14,NA,1.4396447754851474,1.4396447754851474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-JAL-0057,32907,NA,NA,6/6/2018,3,1,9,5,2003,1,6,1,1,NA,OMNILIFE,ADMINISTRADOR,2,99,99,99,99,KERRY (NO SE COMO SE ESCRIBE),"VENTAS, VENDE PRODUCTOS DE REPOSTERIA",1,99,99,99,99,15,15,7,99,156,NA,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,4,4,3,2,1,1,3,3,3,3,2,3,2,2,2,2,1,1,1,1,3,2,5,5,5,5,3,3,2,5,3,1,2,5,3,1,2,2,2,2,2,3,1,3,3,1,3,2,2,2,3,3,3,3,3,2,2,2,3,2,3,3,2,1,99,99,99,99,biologia,3,2,2,3,2,3,2,2,3,3,3,3,3,2,2,2,2,BIOLOGIA,3,2,3,3,3,3,3,2,3,3,2,2,2,3,3,2,2,NA,NA,NA,NA,NA,15,NA,7512,2421,-1.0418705871135892,-0.5490871100759818,-0.6878298698330785,NA,NA,3A,NA,59,NA,NA,0.7464998834202858,0.39251703070865807,-0.931178688223806,-0.22792761571413347,-0.4764365886525934,3B,12,NA,-0.4764365886525934,-0.4764365886525934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-QUI-0036,15073,NA,NA,6/5/2018,1,2,2,1,2004,1,7,1,1,NA,DIRECTORA DE VENTAS NO SE,DIRIGIA UN GRUPO DE VENTAS DE MEMBRESIAS DE VIAJES,1,99,1,99,99,"EMPRESARIO, DUEÑO DE EMPRESA TURISTICA Y YATES",99,2,99,99,99,99,23,31,21,99,156,NA,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,4,3,4,4,3,2,1,2,2,3,3,2,1,1,2,2,2,2,1,1,1,1,5,3,4,6,5,4,3,1,5,6,6,2,1,1,1,1,3,3,3,4,4,4,2,1,1,2,2,1,1,3,2,3,2,2,1,1,3,3,2,2,3,4,99,99,99,99,99,1,BIOLOGIA,4,2,2,4,4,3,3,3,4,4,4,4,4,2,3,1,1,EMPRESARIA,4,4,4,4,4,3,4,3,3,3,3,3,3,2,2,2,2,NA,NA,NA,NA,NA,15,NA,1120,1221,0.49879701408007915,-0.28814524927204027,0.3950114354504379,NA,NA,3B,NA,70,NA,NA,0.7464998834202858,0.8008954075688883,-0.3255016542737958,-1.2410104727779687,0.39111047317420755,5B,14,NA,0.39111047317420755,0.39111047317420755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-QUI-0036,15079,NA,NA,6/5/2018,1,1,3,2,2004,2,6,1,1,NA,PEDIATRA GASTROENTEROLOGA,CURA ENFERMEDADES,1,1,99,99,99,DISEÑADOR INDUSTRIAL,"DISEÑA Y FABRICA SEÑALIZACION, ENTRE OTRAS",1,1,99,99,99,23,15,7,99,156,NA,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,1,4,1,3,5,4,4,3,1,1,2,3,2,1,1,1,1,1,2,1,5,6,5,4,1,1,3,6,6,1,1,2,1,1,3,4,4,4,3,4,1,3,3,2,2,2,1,3,1,3,1,1,1,1,2,1,1,1,2,1,99,99,1,99,99,2,BIOLOGIA,2,2,2,1,1,3,1,3,4,4,4,4,4,2,2,2,2,VOY A SER CHEF,3,3,4,4,2,1,4,4,4,4,4,4,4,1,1,1,1,NA,NA,NA,NA,NA,15,NA,2163,2212,0.8139722627365706,-2.2459637331521214,0.3950114354504379,NA,NA,6,NA,89,NA,NA,0.7464998834202858,0.39251703070865807,0.36255858834140087,0.5173866602591232,0.39111047317420755,6,16,NA,0.39111047317420755,0.39111047317420755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PAPER,NA,MX-CMX-0052,26709,NA,NA,6/11/2018,1,1,6,4,2004,2,6,1,1,NA,NO TRABAJA,NINGUNA PORQE NO TRABAJA,1,99,99,99,99,COCA COLA,DIRECTOR,1,99,99,99,99,7,7,7,99,156,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,3,2,3,2,2,3,2,2,1,1,1,1,6,6,1,1,4,2,3,2,4,2,5,1,1,3,2,1,2,2,2,2,2,3,2,4,3,3,1,1,2,2,2,2,2,2,2,3,1,3,2,3,3,3,1,1,2,2,2,2,Biologia,1,2,3,1,4,4,4,2,2,2,3,1,3,2,3,2,4,NEGOCIOS,3,1,4,4,3,3,2,1,2,2,1,2,2,1,2,1,3,NA,NA,NA,NA,NA,15,NA,1120,9997,-1.0418705871135892,-0.28814524927204027,-1.2658020383417248,NA,NA,3A,NA,70,NA,NA,0.044455419096078946,-0.5151719114584139,-0.16599704131546886,-0.5651345374657976,-0.4764365886525934,3A,12,NA,-0.4764365886525934,-0.4764365886525934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
